2087.37988,2108.40991,2087.37988,2108.29004,6758780000,2108.29004
2067.62988,2125.91992,2048.37988,2085.51001,3521458000,2085.51001
2105.22998,2117.52002,2039.68994,2067.88989,3638745400,2067.88989
1996.67004,2119.59009,1980.90002,2104.5,3806470500,2104.5
2058.8999,2072.36011,1988.12,1994.98999,4091934500,1994.98999
2065.78003,2093.55005,1972.56006,2058.8999,3788631300,2058.8999
2018.20996,2075.76001,2001.01001,2067.56006,3479201500,2067.56006
1971.43994,2018.18994,1820.66003,2018.05005,4260310800,2018.05005
2004.06995,2019.26001,1964.04004,1972.29004,3364623800,1972.29004
1929.80005,2005.04004,1904.78003,2003.37,2875718500,2003.37
1962.29004,1991.39001,1930.67004,1930.67004,3214440400,1930.67004
1923.87,1968.17004,1915.97998,1960.22998,3158130000,1960.22998
1884.39001,1924.03003,1859.79004,1923.56995,3185100900,1923.56995
1873.95996,1897.28003,1814.35999,1883.94995,3589287600,1883.94995
1857.68005,1883.96997,1834.43994,1872.33997,3579015700,1872.33997
1782.68005,1867.92004,1737.92004,1859.44995,3875949400,1859.44995
1845.85999,1850.83997,1770.44995,1782.58997,3806266600,1782.58997
1806.55005,1849.43994,1767.98999,1848.35999,3203412300,1848.35999
1758.69995,1813.55005,1746.19995,1805.81006,3261324500,1805.81006
1682.41003,1775.21997,1646.46997,1756.54004,3498866500,1756.54004
1635.94995,1729.85999,1633.41003,1681.55005,3474152000,1681.55005
1689.42004,1709.67004,1627.46997,1632.96997,3069868600,1632.96997
1609.78003,1698.78003,1604.56995,1685.72998,3270645900,1685.72998
1631.70996,1654.18994,1560.32996,1606.28003,3996199000,1606.28003
1597.55005,1687.18005,1581.28003,1630.73999,3661220400,1630.73999
1569.18005,1597.56995,1536.03003,1597.56995,3674685000,1597.56995
1514.68005,1570.28003,1501.47998,1569.18994,3591577500,1569.18994
1498.10999,1530.93994,1485.01001,1514.68005,3851884200,1514.68005
1426.18994,1509.93994,1426.18994,1498.10999,3802304200,1498.10999
1416.33997,1448,1398.10999,1426.18994,3479625500,1426.18994
1412.19995,1434.27002,1343.34998,1416.18005,3593110000,1416.18005
1440.90002,1470.95996,1403.28003,1412.16003,3587115700,1412.16003
1406.54004,1474.51001,1396.56006,1440.67004,3857553100,1440.67004
1379.31995,1426.68005,1354.65002,1406.57996,3183567800,1406.57996
1362.32996,1391.73999,1325.41003,1379.31995,3663113300,1379.31995
1309.87,1363.45996,1266.73999,1362.16003,4103472300,1362.16003
